"","listing_id","Mean","Max","Min","Median","Std"
"16732",9395250,28,31,21,30,4
"16733",9395407,29,31,3,30,6
"16734",9395457,4,7,1,4,4
"16735",9395763,28,31,5,30,7
"16736",9395997,27,31,3,30,8
"16737",9396162,26,31,16,28,6
"16738",9396164,12,19,5,12,5
"16739",9396597,30,31,29,30,1
"16740",9396838,18,30,3,16,11
"16741",9396970,27,31,1,30,9
"16742",9397224,28,31,5,30,7
"16743",9397441,23,31,1,30,11
"16744",9397509,25,31,1,30,11
"16745",9397536,29,31,3,30,6
"16746",9397571,27,31,5,30,7
"16747",9397652,23,31,1,29,11
"16748",9397794,14,19,10,14,5
"16749",9397884,27,31,3,30,9
"16750",9398623,24,31,1,30,12
"16751",9398967,26,31,1,30,10
"16752",9399248,27,31,5,30,8
"16753",9399652,29,31,3,30,6
"16754",9399849,27,31,5,30,8
"16755",9400062,28,31,3,30,6
"16756",9406590,28,31,18,30,5
"16757",9409258,23,31,1,30,12
"16758",9409552,28,31,5,30,6
"16759",9410309,24,31,1,30,11
"16760",9410881,29,31,3,31,6
"16761",9410969,25,31,3,30,9
"16762",9411053,7,19,2,4,7
"16763",9411128,16,17,15,16,1
"16764",9411296,6,8,3,6,3
"16765",9411501,29,31,3,30,6
"16766",9411519,26,31,1,30,10
"16767",9411553,26,31,3,30,9
"16768",9411615,6,6,6,6,NA
"16769",9411781,27,31,13,30,6
"16770",9412034,28,31,5,30,7
"16771",9412110,29,31,3,30,6
"16772",9412398,28,31,3,30,8
"16773",9412540,29,31,3,30,6
"16774",9412547,17,29,5,17,17
"16775",9412562,19,31,1,19,11
"16776",9412623,16,17,15,16,1
"16777",9412856,4,5,4,4,1
"16778",9412901,29,31,3,30,6
"16779",9413057,22,31,1,30,11
"16780",9413293,29,31,3,31,6
"16781",9413300,24,31,15,28,7
"16782",9413323,27,31,1,30,9
"16783",9413380,29,31,3,31,6
"16784",9413584,9,9,9,9,NA
"16785",9413810,20,29,5,22,12
"16786",9413928,29,31,3,30,6
"16787",9413949,2,3,2,2,1
"16788",9413951,28,31,1,30,8
"16789",9414039,2,3,2,2,1
"16790",9414120,26,31,1,30,10
"16791",9414295,28,31,3,31,6
"16792",9414359,25,31,1,30,13
"16793",9414493,25,27,22,26,3
"16794",9414570,27,31,1,30,9
"16795",9414584,24,31,2,28,11
"16796",9415002,28,31,3,30,7
"16797",9415076,14,25,3,14,16
"16798",9415153,8,11,5,8,4
"16799",9415176,28,31,6,30,7
"16800",9415204,28,31,3,30,6
"16801",9415282,28,31,1,30,8
"16802",9415293,27,31,6,30,7
"16803",9415362,12,12,12,12,NA
"16804",9415375,17,21,9,20,7
"16805",9415438,11,21,2,11,8
"16806",9415533,13,24,2,13,16
"16807",9415578,28,31,3,30,7
"16808",9415693,28,31,6,30,7
"16809",9415729,25,31,1,30,11
"16810",9415817,28,31,3,30,6
"16811",9416020,27,31,6,30,7
"16812",9416023,24,31,3,30,10
"16813",9416076,28,31,6,30,7
"16814",9416099,27,31,5,30,10
"16815",9416125,27,31,3,30,7
"16816",9416187,27,31,6,30,8
"16817",9416247,14,29,3,17,11
"16818",9416270,29,31,3,30,6
"16819",9416369,4,6,3,4,2
"16820",9416414,25,31,3,30,10
"16821",9416415,23,31,3,28,13
"16822",9416544,5,5,5,5,NA
"16823",9416775,8,8,8,8,NA
"16824",9416915,27,31,10,30,6
"16825",9416973,28,31,3,30,7
"16826",9417101,18,31,2,21,13
"16827",9417544,15,28,1,16,10
"16828",9417574,14,28,1,14,19
"16829",9417686,15,29,2,18,10
"16830",9417930,13,26,1,10,10
"16831",9418136,29,31,3,31,6
"16832",9418168,12,15,8,12,5
"16833",9418338,28,31,3,30,8
"16834",9418374,11,11,11,11,NA
"16835",9418747,29,31,3,30,6
"16836",9418931,8,9,8,8,1
"16837",9418954,26,30,23,26,5
"16838",9418969,28,31,6,30,7
"16839",9418993,26,31,1,30,8
"16840",9419034,24,31,3,30,10
"16841",9419325,26,31,7,28,8
"16842",9419573,29,31,3,30,6
"16843",9419625,15,27,3,15,17
"16844",9419818,28,31,25,28,4
"16845",9419895,25,31,3,30,10
"16846",9420360,5,9,2,4,4
"16847",9420496,29,31,11,30,6
"16848",9420695,3,4,2,3,1
"16849",9420711,29,31,3,31,6
"16850",9420716,27,31,6,30,7
"16851",9420815,15,31,2,14,11
"16852",9420884,26,31,3,30,10
"16853",9421019,19,29,6,20,10
"16854",9422193,26,31,1,30,9
"16855",9430269,28,31,6,30,7
"16856",9432391,6,9,4,6,4
"16857",9432454,28,31,3,30,7
"16858",9432697,29,31,3,30,6
"16859",9432799,19,28,13,15,8
"16860",9433163,27,31,3,30,7
"16861",9433166,26,31,1,30,9
"16862",9433393,3,3,3,3,0
"16863",9433481,4,4,4,4,NA
"16864",9433499,2,4,1,2,2
"16865",9433677,24,31,1,30,13
"16866",9433769,26,31,7,30,8
"16867",9433810,26,31,3,30,9
"16868",9434200,9,15,3,9,8
"16869",9434248,28,31,3,30,6
"16870",9434274,29,31,3,30,6
"16871",9434342,8,28,1,2,12
"16872",9434376,27,31,7,30,7
"16873",9434452,28,31,1,30,8
"16874",9434581,27,31,3,30,8
"16875",9434907,25,31,3,30,10
"16876",9434916,16,31,2,13,14
"16877",9435208,29,31,3,30,6
"16878",9435263,26,31,20,27,6
"16879",9435420,26,31,1,30,11
"16880",9435433,27,31,2,30,8
"16881",9435491,4,6,2,4,3
"16882",9435659,29,31,3,30,6
"16883",9435769,29,31,3,31,6
"16884",9435937,29,31,3,30,6
"16885",9435975,25,31,3,30,10
"16886",9435996,28,31,3,30,6
"16887",9436108,29,31,3,31,6
"16888",9436284,28,31,3,30,6
"16889",9436414,28,31,3,30,6
"16890",9436497,2,3,2,2,1
"16891",9436548,26,31,1,30,10
"16892",9436970,26,31,10,29,8
"16893",9436991,29,31,3,31,6
"16894",9437268,27,31,3,30,8
"16895",9437279,11,17,2,15,8
"16896",9437464,24,29,20,24,6
"16897",9437569,14,27,2,14,18
"16898",9437632,19,31,1,18,10
"16899",9437671,5,7,3,5,3
"16900",9437763,16,23,9,16,10
"16901",9437780,25,31,1,30,10
"16902",9437821,28,31,15,30,5
"16903",9438445,23,31,2,30,11
"16904",9438540,29,31,3,30,6
"16905",9438768,26,31,1,30,10
"16906",9438990,11,21,2,13,7
"16907",9439138,29,31,3,31,6
"16908",9439192,21,31,2,28,12
"16909",9439675,28,31,3,30,8
"16910",9439718,25,31,3,30,9
"16911",9440229,27,31,1,30,8
